Voltage_V,Current_A,State_x
3.111111e-01,3.111111e-04,1.000000e+00
2.909091e-01,2.909091e-04,1.000000e+00
2.707071e-01,2.707071e-04,1.000000e+00
2.505051e-01,2.505051e-04,1.000000e+00
2.303030e-01,2.303030e-04,1.000000e+00
2.101010e-01,2.101010e-04,1.000000e+00
1.898990e-01,1.898990e-04,1.000000e+00
1.696970e-01,1.696970e-04,1.000000e+00
1.494949e-01,1.494949e-04,1.000000e+00
1.292929e-01,1.292929e-04,1.000000e+00
1.090909e-01,1.090909e-04,1.000000e+00
8.888889e-02,8.888889e-05,1.000000e+00
6.868687e-02,6.868687e-05,1.000000e+00
4.848485e-02,4.848485e-05,1.000000e+00
2.828283e-02,2.828283e-05,1.000000e+00
8.080808e-03,8.080808e-06,1.000000e+00
-1.212121e-02,-1.212121e-05,1.000000e+00
-3.232323e-02,-3.232323e-05,1.000000e+00
-5.252525e-02,-5.252525e-05,1.000000e+00
-7.272727e-02,-7.272727e-05,1.000000e+00
-9.292929e-02,-9.292929e-05,1.000000e+00
-1.131313e-01,-1.131313e-04,1.000000e+00
-1.333333e-01,-1.333333e-04,1.000000e+00
-1.535354e-01,-1.535354e-04,1.000000e+00
-1.737374e-01,-1.737374e-04,1.000000e+00
-1.939394e-01,-1.939394e-04,1.000000e+00
-2.141414e-01,-2.141414e-04,1.000000e+00
-2.343434e-01,-2.343434e-04,1.000000e+00
-2.545455e-01,-2.545455e-04,1.000000e+00
-2.747475e-01,-2.747475e-04,1.000000e+00
-2.949495e-01,-2.949495e-04,1.000000e+00
-3.151515e-01,-3.151515e-04,1.000000e+00
-3.353535e-01,-3.353535e-04,1.000000e+00
-3.555556e-01,-3.555556e-04,1.000000e+00
-3.757576e-01,-3.757576e-04,1.000000e+00
-3.959596e-01,-3.959596e-04,1.000000e+00
-4.161616e-01,-4.161616e-04,1.000000e+00
-4.363636e-01,-4.363636e-04,1.000000e+00
-4.565657e-01,-4.565657e-04,1.000000e+00
-4.767677e-01,-4.767677e-04,1.000000e+00
-4.969697e-01,-4.969697e-04,1.000000e+00
-5.171717e-01,-5.171717e-04,1.000000e+00
-5.373737e-01,-5.373737e-04,1.000000e+00
-5.575758e-01,-5.575758e-04,1.000000e+00
-5.777778e-01,-5.777778e-04,1.000000e+00
-5.979798e-01,-5.979798e-04,1.000000e+00
-6.181818e-01,-6.181818e-04,1.000000e+00
-6.383838e-01,-6.383838e-04,1.000000e+00
-6.585859e-01,-6.585859e-04,1.000000e+00
-6.787879e-01,-6.787879e-04,1.000000e+00
-6.989899e-01,-6.989899e-04,1.000000e+00
